286662 (u'NS2.UNIREGISTRYMARKET.LINK', u'NS1.UNIREGISTRYMARKET.LINK')
186 (u'DUKE.NS.CLOUDFLARE',)
179 (u'NS1MPZ.NAME',)
174 (u'NS1.TRANSIP.NET',)
173 (u'NS2.TRANSIP.EU',)
172 (u'NS0.TRANSIP.NL',)
168 (u'NS14.DNS.COM.CN', u'NS13.DNS.COM.CN')
168 (u'NS1.LOCAWEB.COM.BR',)
167 (u'NS1.IDHOSTINGER',)
166 (u'NS2.LOCAWEB.COM.BR',)
166 (u'NS2.IDHOSTINGER',)
161 (u'NS3.LINODE',)
160 (u'NADIA.NS.CLOUDFLARE',)
159 (u'NS3.IDHOSTINGER',)
159 (u'NS4.IDHOSTINGER',)
157 (u'NS144.NEUBOX.NET', u'NS143.NEUBOX.NET')
157 (u'NS1.HAWKHOST', u'NS2.HAWKHOST')
156 (u'NS4.LINODE',)
156 (u'NS11.BIGWWW',)
156 (u'NS4037.HOSTGATOR', u'NS4038.HOSTGATOR')
155 (u'NS4.LWSDNS', u'NS3.LWSDNS')
153 (u'NS3.LOCAWEB.COM.BR',)
153 (u'NS1.LWS-HOSTING.BIZ', u'NS2.LWS-HOSTING.BIZ')
151 (u'NS3.SHOPCO',)
150 (u'NS1.BRAINYDNS', u'NS2.BRAINYDNS')
149 (u'NS8397.HOSTGATOR', u'NS8398.HOSTGATOR')
149 (u'NS2.DOMINIOCONGELADO.COM.BR', u'NS3.DOMINIOCONGELADO.COM.BR', u'NS1.DOMINIOCONGELADO.COM.BR')
148 (u'NS8519.HOSTGATOR', u'NS8520.HOSTGATOR')
147 (u'NS2.SHOPCO',)
146 (u'NS1.SHOPCO',)
145 (u'NS1.HOSTPAPA', u'NS2.HOSTPAPA')
144 (u'NS2.ALASTYR', u'NS1.ALASTYR')
144 (u'NS1.NET4INDIA',)
143 (u'SDNS2.OVH.NET',)
142 (u'NS3.HOSTMAR',)
141 (u'NS1.NETREGISTRY.NET', u'NS3.NETREGISTRY.NET', u'NS2.NETREGISTRY.NET')
141 (u'NS1BCP.NAME',)
140 (u'NS2.AM29.SITEGROUND.BIZ', u'NS1.AM29.SITEGROUND.BIZ')
139 (u'NS1.US9.SITEGROUND.US', u'NS2.US9.SITEGROUND.US')
138 (u'NS8415.HOSTGATOR', u'NS8416.HOSTGATOR')
137 (u'NS1.HOSTING.REG.RU',)
137 (u'DNS14.PARKPAGE.FOUNDATIONAPI', u'DNS13.PARKPAGE.FOUNDATIONAPI')
136 (u'NS2.STABLEHOST', u'NS1.STABLEHOST')
136 (u'NS2.HOSTING.REG.RU',)
136 (u'NS.DNS2.CO.ZA', u'NS.DNS1.CO.ZA')
135 (u'IBNS.EARTH.ORDERBOX-DNS', u'IBNS.MARS.ORDERBOX-DNS')
135 (u'NS5.LINODE',)
134 (u'NS.OTHERDNS.NET',)
134 (u'IBNS.MERCURY.ORDERBOX-DNS', u'IBNS.VENUS.ORDERBOX-DNS')
131 (u'DNS19.PARKPAGE.FOUNDATIONAPI', u'DNS20.PARKPAGE.FOUNDATIONAPI')
129 (u'NS0.PHASE8.NET', u'NS1.PHASE8.NET')
129 (u'NS.OTHERDNS',)
129 (u'NS-2.EZYREG', u'NS-1.EZYREG')
128 (u'NS180.HOSTGATOR.COM.BR', u'NS181.HOSTGATOR.COM.BR')
128 (u'NS2.THCSERVERS', u'NS1.THCSERVERS')
128 (u'NS2.PHASE8.NET',)
127 (u'NS4.WHOIS', u'NS3.WHOIS')
127 (u'NS21.DATTATEC',)
126 (u'NS21.IXWEBHOSTING', u'NS22.IXWEBHOSTING')
125 (u'NS1.TRAXHOST',)
125 (u'NS2.WHOIS',)
124 (u'NS1.DONWEB.MX',)
124 (u'NS1.WHOIS',)
123 (u'NS1082.TAMAINUT.NET', u'NS1081.TAMAINUT.NET')
123 (u'DNS010.D.REGISTER',)
123 (u'NS1.DONWEB.CO',)
121 (u'NS1.DONWEB.UY',)
121 (u'NS2.DONWEB.PE',)
121 (u'NS1.DONWEB.CL', u'NS1.DATTATEC.ES')
121 (u'NS2.QHOSTER.NET', u'NS1.QHOSTER.NET')
120 (u'NS2.DONWEB.BO', u'NS2.DONWEB.COM.BR')
119 (u'NS12.BIGWWW',)
119 (u'FREEDNS1.REGISTRAR-SERVERS',)
118 (u'NS2.SUPERCP', u'NS1.SUPERCP')
118 (u'FREEDNS2.REGISTRAR-SERVERS',)
116 (u'NS1.US10.SITEGROUND.US', u'NS2.US10.SITEGROUND.US')
116 (u'B.DNS.GANDI.NET', u'C.DNS.GANDI.NET', u'A.DNS.GANDI.NET')
115 (u'NS.LIQUIDWEB', u'NS1.LIQUIDWEB')
114 (u'GREG.NS.CLOUDFLARE',)
114 (u'DNS8.PARKPAGE.FOUNDATIONAPI', u'DNS7.PARKPAGE.FOUNDATIONAPI')
113 (u'CPNS1.TURHOST', u'CPNS2.TURHOST')
113 (u'NS2CKR.NAME',)
113 (u'NS2.CDMON.NET', u'NS1.CDMON.NET')
113 (u'NS10.WIXDNS.NET', u'NS11.WIXDNS.NET')
113 (u'NS1.ENSJAMMU', u'NS2.ENSJAMMU')
112 (u'NS3.TSOHOST.CO.UK',)
111 (u'DUMMYSECONDARY.PLEASECONTACTSUPPORT',)
109 (u'SK.S5.CM.NS1.37.ZTOMY', u'SK.S5.CM.NS2.37.ZTOMY')
109 (u'NS3.QHOSTER.NET', u'NS4.QHOSTER.NET')
108 (u'NS4DMX.NAME',)
107 (u'NS.HOSTINGMADEEASY', u'NS2.HOSTINGMADEEASY')
107 (u'NS2.WEBSITEWELCOME', u'NS1.WEBSITEWELCOME')
106 (u'NS34.NIAGAHOSTER', u'NS33.NIAGAHOSTER')
105 (u'NS2-URANUS.EWEBGURU', u'NS1-URANUS.EWEBGURU')
104 (u'NS2.WEBSITEHOSTSERVER.NET', u'NS1.WEBSITEHOSTSERVER.NET')
104 (u'NS107.EHOSTS',)
101 (u'NS3.CDMON.NET',)
100 (u'PAM.NS.CLOUDFLARE',)
100 (u'NS3.ALASTYR',)
100 (u'LEAH.NS.CLOUDFLARE',)
100 (u'NS1.DNBIZ',)
100 (u'DNS4.ALAPCOM', u'DNS3.ALAPCOM')
100 (u'NS4JNZ.NAME',)
99 (u'DNS150.C.REGISTER', u'DNS040.B.REGISTER')
99 (u'DNS2.REBEL', u'DNS.REBEL')
97 (u'NS1.ASOSHARED', u'NS2.ASOSHARED')
97 (u'NS2.WEBHOSTINGPAD', u'NS1.WEBHOSTINGPAD')
97 (u'NS2.SERVERXY', u'NS1.SERVERXY')
96 (u'FREEDNS3.REGISTRAR-SERVERS',)
95 (u'DNS2.MARKUM.NET', u'DNS1.MARKUM.NET')
95 (u'NS2NSY.NAME',)
94 (u'FREEDNS4.REGISTRAR-SERVERS',)
94 (u'NS2DKY.NAME',)
94 (u'NS4.ALASTYR',)
93 (u'NS1DHQ.NAME',)
92 (u'NS-CLOUD-E2.GOOGLEDOMAINS', u'NS-CLOUD-E3.GOOGLEDOMAINS', u'NS-CLOUD-E4.GOOGLEDOMAINS', u'NS-CLOUD-E1.GOOGLEDOMAINS')
92 (u'NS1.ENSALPHA', u'NS2.ENSALPHA', u'NS3.ENSALPHA')
91 (u'NS38.NIAGAHOSTER', u'NS37.NIAGAHOSTER')
91 (u'SRV22.NOVIHOST.NET',)
91 (u'NS4.ENSALPHA',)
89 (u'NS112.MSCHOSTING', u'NS111.MSCHOSTING')
87 (u'DIJKSTRA.IHSDNS', u'KNUTH.IHSDNS')
87 (u'NS3JKL.NAME',)
87 (u'NS4021.HOSTGATOR', u'NS4022.HOSTGATOR')
86 (u'NS2.DNBIZ',)
85 (u'LADY.NS.CLOUDFLARE',)
85 (u'NS11.DNSMADEEASY',)
84 (u'NS2.DOMAINCOM-DEFAULT.DOMAINPARKINGSERVER.NET', u'NS1.DOMAINCOM-DEFAULT.DOMAINPARKINGSERVER.NET')
84 (u'NS1.BYET.ORG', u'NS2.BYET.ORG')
84 (u'NS10.DNSMADEEASY',)
83 (u'NS1.DNSMADEEASY',)
83 (u'NS141.EHOSTS', u'NS142.EHOSTS')
83 (u'NS0.DNSMADEEASY',)
83 (u'NS1.360WZB', u'NS2.360WZB')
82 (u'NS1.FANTAZISUNUCU.NET', u'NS2.FANTAZISUNUCU.NET')
81 (u'NS1.TIMEWEB.RU', u'NS2.TIMEWEB.RU')
81 (u'NS2.NET4INDIA',)
81 (u'NS0.UKFAST.NET', u'NS1.UKFAST.NET')
80 (u'DNS2.SPIRIT-PARKED-PAGES.NET', u'DNS1.SPIRIT-PARKED-PAGES.NET')
80 (u'DNSIIX2.QWORDS.NET', u'DNSIIX1.QWORDS.NET')
80 (u'NS2.DOMAINMONSTER', u'NS3.DOMAINMONSTER', u'NS1.DOMAINMONSTER')
80 (u'COCO.NS.CLOUDFLARE',)
79 (u'NS2.DNSMADEEASY',)
79 (u'NS3.DNSMADEEASY',)
79 (u'NS16.COLSERVICIOS', u'NS15.COLSERVICIOS')
79 (u'NS1.ASMALLORANGE', u'NS2.ASMALLORANGE')
77 (u'UMA.NS.CLOUDFLARE',)
77 (u'TOM.NS.CLOUDFLARE',)
77 (u'NS12.DNSMADEEASY',)
77 (u'NS1.KIRIMIZICEKET', u'NS2.KIRIMIZICEKET')
76 (u'NS4.THCSERVERS', u'NS3.THCSERVERS')
75 (u'NS4.DNSMADEEASY',)
75 (u'NS6.IDWEBHOST',)
75 (u'DNS5.PARKPAGE.FOUNDATIONAPI', u'DNS6.PARKPAGE.FOUNDATIONAPI')
74 (u'NS2.REGISTER.IT', u'NS1.REGISTER.IT')
74 (u'NS7.IDWEBHOST',)
74 (u'NS1.GVODNS',)
73 (u'NS8532.HOSTGATOR', u'NS8531.HOSTGATOR')
73 (u'MAX.NS.CLOUDFLARE',)
